name,product_id,price,store,stock,description,rating,reviews,image,rollout_date,category_n
Unisex Adidas Originals Kiel Shoes,8e5f234f-311c-4901-a685-c034c4e9b972,69.99,"Schulist, Collier and Christiansen",84,The adidas Originals Kiel unisex shoes offer perfect functionality along with style. Seamless Textile upper provides you comfort whereas the Vulcanized rubber outsole gives optimum Traction. They come in a sleek design with stitched 3-Stripes on the sides.,0,0,Unisex_SKATEBOARDING_SHOES_LOW_CQ1091_1.jpg,2020-12-30T03:57:17,shoese:brand:Adidas
Scope Mouthwash,2dc73e2c-be2d-4a1e-9ca4-4fbae2beb310,3.16,"Collier, Ankunding and Kunde",7,Scope Mouthwash *Size; 36 ml *Classic mouthwashCREST SCOPE CLSSIC ORIGMNT RIN,0,0,d8b955b7-e0e7-479f-9672-2400cedb36da_1.1d44b4f1667e8f8f921ee18c5d057ae5.jpeg,2020-11-24T16:05:31,Personal Care:Oral Care:Mouthwash
"Cascade Platinum Dishwasher Rinse Aid, 30.5 fl oz",795b198e-3b29-4b92-83be-a735e1671156,7.77,"Schulist, Collier and Christiansen",133,"Cascade Platinum Rinse Aids sheeting action helps prevent dish water from clinging to your dishes during your machines rinse cycle so your dishes rinse cleaner, dry faster and more effectively,* and come out dry and shining with virtually no water spots or streaks. *vs. detergent alone Dishes rinse clean for brilliant shine Use for virtually spot-free dishes Delivers unbelievable drying Recommended by Cascade Detergent #1 Recommended Brand in North America* *More dishwasher brands in North America recommend Cascade vs. any other automatic dishwashing detergent brand, recommendations as part of co-marketing agreements",0,0,42ee436e-58c5-40bd-8555-a15403df1cc6.bd7c29bf3ecf7f1fdb43ff97996fd450.jpeg,2020-12-04T23:27:10,Household Essentials:Cleaning Supplies:Dishwashing
Men'S Adidas Originals Matchcourt High Rx Shoes,7a5afcbe-e157-4f2c-a340-94bb87a7cb46,69.99,Durgan-Graham,293,"The Matchcourt salutes adidas' court heritage while fine-tuning the design for modern skateboarding. A canvas quarter provides a degree of lightweight comfort, and the suede toe and lace area plus the double-wrapped midsole go all in for durability.",0,0,Men_SKATEBOARDING_VULCANIZED_SHOES_LOW_B22785_1.jpg,2020-10-30T06:17:10,shoese:brand:Adidas
"One with Nature One with Nature Hand Wash, 12 oz",fd7bf9b7-df7a-42d6-9ee9-0bd8e9b66038,7.49,"Schulist, Collier and Christiansen",85,"One With Nature Dead Sea Mineral Moisturizing Hand Wash Shea Butter combines healing dead sea minerals with moisturizing shea butter to provide a truly luxurious cleansing experience. Experience the dead sea difference! At One with Nature, they are dedicated to crafting only the finest skin care products. Care is taken to design, develop and manufacture their products in harmony with nature and their customers needs. Disclaimer These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease. Shea butter and natural minerals, muds and salt of the Dead Sea Basin moisturize your skin and leave it feeling clean, healthy and rejuvenated. One With Nature Dead Sea Mineral Moisturizing Hand Wash Shea Butter - 12 fl oz Simulate circulation and restores the skins natural PH. Shea butter and natural minerals, muds and salt. Dead Sea Basin moisturize your skin Leave it feeling clean, healthy and rejuvenated.",0,0,1cf1c96b-1b43-4fec-9012-dcd4c573583f_1.398d0d5ae5bcabd67bdd4dc3c0f47dea.jpeg,2020-10-08T12:33:03,Personal Care:Bath & Body:Hand Soaps
"Eucerin Eczema Relief Flare-Up Treatment, 2 oz. Tube",fd75014c-9eea-4e7e-b80b-5bf8388acd02,6.35,"Collier, Ankunding and Kunde",19,"Eucerin Eczema Relief Flare-Up Treatment provides immediate relief for itching, minor irritation and dryness due to eczema flare-ups. Eczema is a chronic skin condition that can cause your skin to become irritated, usually accompanied by an itchy rash. Our formula helps break the itch-scratch cycle of eczema. This rich, soothing lotion is formulated with only the best ingredients. Enriched with Colloidal Oatmeal a skin protectant that relieves itching. Ceramide-3 to strengthen the skins moisture barrier to keep moisture in and irritants out, and Licorice Root Extract to calm redness. The clinically proven formula intensively hydrates skin. Eucerin Eczema Relief Flare-Up Treatment is appropriate for use on infants as young as 3 months and is free of steroids, fragrances, and dyes. To use: Apply as needed to affected areas. For daily maintenance of eczema-prone skin, use Eczema Relief Body Cream. It is time to break the itch-scratch cycle of eczema! Provides immediate relief for itching, irritation, and dryness due to eczema flare-ups Enriched with Colloidal Oatmeal, Ceramide-3, and Licorice Root Extract Appropriate for use on infants as young as 3 months Steroid free, Fragrance free, and dye free",0,0,8fefbe2c-cb49-4353-93b0-e556bf03a0a2_1.29ffad5ede41a5b69c9d3a70cd00d835.jpeg,2021-07-20T20:46:37,Personal Care:Bath & Body:Body Scrubs & Exfoliators
"all Free Clear Free Clear, 60 Loads, Liquid Fabric Softener , 48 oz",957b27cd-8db2-434f-af28-93cace15d1b8,3.97,"Collier, Ankunding and Kunde",49,"Make fabrics softer and more comfortable against your familys sensitive skin with hypoallergenic all Liquid Fabric Softener. Made by the #1 detergent brand recommended by dermatologists for sensitive skin, this gentle fabric softener is 100% fragrance-free and dye-free. Add to your wash for clothes and bedding that are gentle on the skin. Use with all Free Clear detergent and dryer sheets for clean and soft clothes with static cling reduction in the dryer. This bottle contains 48-ounces, enough for 60 loads. Leave your fabrics feeling soft and comfortable against sensitive skin with this hypoallergenic, fragrance free fabric softener. Made by the #1 detergent brand recommended by dermatologists for sensitive skin, this gentle fabric softener is 100% fragrance-free and dye-free. Add to your wash for clothes and bedding that are gentle on the skin. Use with all Free Clear laundry detergent and dryer sheets for clean and soft clothes with static cling reduction in the dryer. This bottle contains 48-ounces, enough for 60 loads.",0,0,fdb56611-379c-4fef-bcef-7485b5cf1440_1.f868b0532c1bcc97bf1fce2c61c33704.jpeg,2021-03-08T19:20:38,Household Essentials:Laundry:Fabric Softener
Hugger Mugger Nature Collection Ultra Yoga Mat,6ade149f-ced7-4126-a136-3c40f71af16f,47.95,Durgan-Graham,119,"Want extra cushion and a fun mat pattern, too? The Nature Collection Ultra Mat features a sticky surface with 1/4&quot of cushioning power, making it especially good for sitting, kneeling, and lying poses. 68&quot x 24&quot x 0.25&quot / 3.5 lb Sturdy, sticky surface 1/4&quot thickness cushions bones and joints Beautifully blended, unique, nature-inspired design Lightweight, durable, economical Latex-free",0,0,51526077-c568-47c8-99d0-aa0f1ddfd77a_1.eb63d8432d09f437d1ddcdc04c8174b1.jpeg,2021-07-17T22:08:51,Sports & Outdoors:Exercise & Fitness:Yoga
"Banana Boat Ultra Sport Clear Sunscreen Spray SPF 100, 6 oz",2c00ae09-473d-4965-8288-65c3d681495d,9.97,"Schulist, Collier and Christiansen",218,"Great for Your Active Lifestyle! Banana Boat Ultra Sport Clear Spray Sunscreen provides powerful protection that absorbs quickly, is non-greasy and wont run into your eyes. These lightweight, clear sprays are designed expressly for sport enthusiasts and other active folks who need sunscreen staying power in the sun! Banana Boat Ultra Sport Clear Spray Sunscreen stays on in the sun, pool water, ocean water, wind, sweat, sand and extreme heat, Providing safe and effective broad spectrum UVA and UVB protection for your skin. Banana Boat Ultra Sport Clear Spray Sunscreen is water & sweat resistant for up to 80 minutes. Banana Boat Ultra Sport Clear Sunscreen Spray SPF 100, 6 oz: POWERSTAY TECHNOLOGY locks active ingredients in place, boosting the STAYING POWER SPF 100 blocks 99% of UVB rays WATER & SWEAT RESISTANT for up to 80 MINUTES P R O T E C T T H E ✹ F U N TRY NEW THINGS CLIMB TREES HUNT FOR BUGS MAKE MUDPIES DREAM BIG PLAY OUTSIDE JUMP IN PUDDLES BUILD A FORT READ GREAT BOOKS RUN BAREFOOT",0,0,dac108fc-3544-4754-b896-6669b25bd1ed_1.271b724c32dee276e6e8f24111838d0e.jpeg,2020-12-02T22:33:26,Personal Care:Sun Care:Sunscreen
200TC Cotton Fitted Sheet with 15&quot Deep Pocket Fitted Bottom Sheet White Full,2c2ecc56-691b-45bd-a601-b9a7c2fbdb4b,26.22,Durgan-Graham,49,"All-around elastic and Large pockets fit oversized mattress up to 15 Inch Large. 200 thread count sheet provides maximum coziness and durability. Higher thread count does not always mean better quality and coziness. Easy to care, machine wash in cold water, dry quickly on tumble dry low. Dimensions: Twin fitted sheet: 74&quot x 38&quot/190 x 99cm, Full fitted sheet: 74&quot x 53&quot/190 x 137cm, Queen fitted sheet: 79&quot x 59&quot/203 x 152cm, King fitted sheet: 79&quot x 77&quot/203 x 198cm. Due to the light and screen setting difference, the items color may be slightly different from the pictures. Variability of 2-3 cm is possible due to measurement process, please make sure you do not mind before you bid. 200TC Cotton Fitted Sheet with 15&quot Deep Pocket Fitted Bottom Sheet 100% cotton fitted sheets 200 Thread Count All-round elasticity and Large pockets for oversized mattresses over 15&quot deep This fitted bed sheet fits perfectly and has no wrinkles.  Breathable material, moisture proof Suitable for machine washing and low temperature drying Includes 1pcs  Fitted Sheet",0,0,b23b8fad-f68d-451d-852c-94c6d4308487.c6e779ca58c12cbe939356d1b0563492.jpeg,2020-10-02T22:56:19,Home:Bedding:Bed Sheets
